RESIDENCY_GROUP_DESCR,ACADEMIC_YEAR,TERM,TERM_DESCR,ACADEMIC_CAREER_DESCR,ACAD_PROG,ACADEMIC_PROGRAM_DESCR,COURSE_ID,OFFER_NUMBER,FACULTY,FACULTY_DESCR,SCHOOL,SCHOOL_NAME,COURSE_NAME,COURSE_CODE,CATALOG_NUMBER,CRSE_ATTR,MASKED_ID
Local,2024,5249,2024 Term 3,Postgraduate,8266,Clinical Neuropsychology,67108,1,SCI,Faculty of Science,PSYC,School of Psychology,Neuropsychology (NPEP3),PSYC7239,7239,WILC,755415
Local,2024,5246,2024 Term 2,Postgraduate,8926,Teaching (Secondary),59591,2,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,EDST6760,6760,WILC,882915
Local,2024,5246,2024 Term 2,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,ENGG4999,4999,WILC,538441
Local,2024,5249,2024 Term 3,Postgraduate,8625,MBA (Part-time),63700,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",Law Postgraduate Internships,LAWS8173,8173,WILC,1020803
Local,2024,5243,2024 Term 1,Postgraduate,9150,Juris Doctor,65486,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",UNSW Law Internships,JURD7555,7555,WILC,1098403
Local,2024,5243,2024 Term 1,Undergraduate,4787,Social Work (Honours) / Law,50349,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",KLC Employment Clinic (Inten),LAWS3305,3305,WILC,880926
Local,2024,5243,2024 Term 1,Postgraduate,8925,Teaching (Primary),65316,2,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Prof Exp 2/Internship,EDST6765,6765,WILC,856209
International,2024,5249,2024 Term 3,Undergraduate,3502,Commerce,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,COMM2233,2233,WILC,621492
International,2024,5243,2024 Term 1,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,COMM5030,5030,WILC,1213635
International,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55813,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Children's Health (Paeds),MFAC3506,3506,WILC,1259480
International,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,MFAC3508,3508,WILC,1259480
International,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,1259480
International,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,MFAC3505,3505,WILC,1259480
International,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,MFAC3502,3502,WILC,1259480
Local,2024,5243,2024 Term 1,Undergraduate,3871,Exercise Physiology,60608,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum A,HESC4611,4611,WILC,1561844
Local,2024,5246,2024 Term 2,Undergraduate,3871,Exercise Physiology,60843,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum B,HESC4622,4622,WILC,1561844
Local,2024,5249,2024 Term 3,Undergraduate,4053,Arts / Education (Secondary),65316,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Prof Exp 2/Internship,EDST6765,6765,WILC,1345298
Local,2024,5243,2024 Term 1,Undergraduate,4722,Psychological Science / Law,65481,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",UNSW Law Internships,LAWS3555,3555,WILC,1417032
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,64063,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,PRINT,MFAC3515,3515,WILC,96032
Local,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,64064,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Elective,MFAC3514,3514,WILC,96032
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,MFAC3505,3505,WILC,96032
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55819,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Selective,MFAC3509,3509,WILC,96032
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,MFAC3508,3508,WILC,96032
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,62771,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Clinical Transition,MFAC2507,2507,WILC,1326664
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55813,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Children's Health (Paeds),MFAC3506,3506,WILC,1277064
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,MFAC3505,3505,WILC,1277064
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,1277064
Local,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,MFAC3502,3502,WILC,1277064
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,MFAC3504,3504,WILC,1277064
Local,2024,5242,2024 Summer Term,Undergraduate,3521,Commerce/Economics,63930,1,COMM,UNSW Business School,COMM,UNSW Business School,Global Business Practicum,COMM3020,3020,WILC,1380592
Local,2024,5249,2024 Term 3,Postgraduate,8095,Clinical Optometry,65118,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Ocular Therapy 5B,OPTM8523,8523,WILC,1417365
Local,2024,5246,2024 Term 2,Postgraduate,8095,Clinical Optometry,65116,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Contact lens,OPTM8521,8521,WILC,1417365
Local,2024,5243,2024 Term 1,Postgraduate,8095,Clinical Optometry,65107,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,"Clinical paeds, LV and CV",OPTM8511,8511,WILC,1417365
Local,2024,5246,2024 Term 2,Postgraduate,8095,Clinical Optometry,65115,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Ocular Therapy 5A,OPTM8513,8513,WILC,1417365
Local,2024,5249,2024 Term 3,Postgraduate,8095,Clinical Optometry,65117,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Optometry 5B,OPTM8522,8522,WILC,1417365
Local,2024,5243,2024 Term 1,Postgraduate,8095,Clinical Optometry,65114,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Optometry 5A,OPTM8512,8512,WILC,1417365
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,64063,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,PRINT,MFAC3515,3515,WILC,893292
Local,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,64064,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Elective,MFAC3514,3514,WILC,893292
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,MFAC3503,3503,WILC,893292
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55819,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Selective,MFAC3509,3509,WILC,893292
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,MFAC3508,3508,WILC,893292
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,MFAC3508,3508,WILC,893292
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,MFAC3504,3504,WILC,175817
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,64063,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,PRINT,MFAC3515,3515,WILC,175817
Local,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,64064,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Elective,MFAC3514,3514,WILC,175817
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,MFAC3503,3503,WILC,175817
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55819,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Selective,MFAC3509,3509,WILC,175817
International,2024,5246,2024 Term 2,Postgraduate,8404,Commerce,65271,1,COMM,UNSW Business School,COMM,UNSW Business School,Business for Social Impact,COMM5201,5201,WILC,1315466
Local,2024,5246,2024 Term 2,Undergraduate,3784,Commerce / Computer Science,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,COMM3030,3030,WILC,1484267
International,2024,5243,2024 Term 1,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,COMM3030,3030,WILC,1589230
Local,2024,5243,2024 Term 1,Undergraduate,3256,Interior Architecture (Hons),66712,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,ADA Professional Placement,FADA6700,6700,WILC,1650929
Local,2024,5249,2024 Term 3,Undergraduate,4782,Arts / Law,65481,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",UNSW Law Internships,LAWS3555,3555,WILC,1632964
Local,2024,5243,2024 Term 1,Undergraduate,4824,Design / Media (PR and Adv),64631,1,ADA,"Faculty of Arts, Design and Architecture",COFAS,School of Art & Design,Professional Experience,ADAD3000,3000,WILC,1631170
Local,2024,5243,2024 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,ENGG4999,4999,WILC,1638242
Local,2024,5249,2024 Term 3,Undergraduate,4033,Social Work (Honours),65522,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Placement Lvl 4 B,SOCW4018,4018,WILC,1630570
Local,2024,5246,2024 Term 2,Undergraduate,4033,Social Work (Honours),65524,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Placement  Lvl 4 A,SOCW4017,4017,WILC,1630570
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,MFAC3502,3502,WILC,1634543
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,1634543
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,MFAC3505,3505,WILC,1634543
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,MFAC3503,3503,WILC,1634543
Local,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,MFAC3504,3504,WILC,1634543
International,2024,5243,2024 Term 1,Undergraduate,3182,Vision Science/Clinical Optom,65114,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Optometry 5A,OPTM8512,8512,WILC,1626711
International,2024,5249,2024 Term 3,Undergraduate,3182,Vision Science/Clinical Optom,65118,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Ocular Therapy 5B,OPTM8523,8523,WILC,1626711
International,2024,5246,2024 Term 2,Undergraduate,3182,Vision Science/Clinical Optom,65116,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Contact lens,OPTM8521,8521,WILC,1626711
International,2024,5243,2024 Term 1,Undergraduate,3182,Vision Science/Clinical Optom,65107,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,"Clinical paeds, LV and CV",OPTM8511,8511,WILC,1626711
International,2024,5246,2024 Term 2,Undergraduate,3182,Vision Science/Clinical Optom,65115,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Ocular Therapy 5A,OPTM8513,8513,WILC,1626711
International,2024,5249,2024 Term 3,Undergraduate,3182,Vision Science/Clinical Optom,65117,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Optometry 5B,OPTM8522,8522,WILC,1626711
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,MFAC3501,3501,WILC,1672926
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,MFAC3502,3502,WILC,1672926
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,MFAC3503,3503,WILC,1672926
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,MFAC3504,3504,WILC,1672926
Local,2024,5242,2024 Summer Term,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,MFAC3508,3508,WILC,1672926
International,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,62771,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Clinical Transition,MFAC2507,2507,WILC,5828816
Local,2024,5249,2024 Term 3,Undergraduate,3409,Arts,62809,1,ADA,"Faculty of Arts, Design and Architecture",ENGL,School of the Arts and Media,Media and Arts Internship,ARTS3015,3015,WILC,5956278
International,2024,5249,2024 Term 3,Undergraduate,3558,Commerce (International),63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,COMM3030,3030,WILC,5997614
International,2024,5243,2024 Term 1,Postgraduate,9150,Juris Doctor,60685,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",KLC Community Clinic Non-Inten,JURD7304,7304,WILC,9743083
Local,2024,5249,2024 Term 3,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,COMM2244,2244,WILC,9814551
Local,2024,5246,2024 Term 2,Undergraduate,3584,Commerce / Information Systems,65270,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Experience Program,COMM2222,2222,WILC,9814551
Local,2024,5246,2024 Term 2,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,COMM2244,2244,WILC,9810911
Local,2024,5246,2024 Term 2,Undergraduate,3871,Exercise Physiology,60843,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum B,HESC4622,4622,WILC,9808986
Local,2024,5243,2024 Term 1,Undergraduate,3871,Exercise Physiology,60608,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum A,HESC4611,4611,WILC,9808986
Local,2024,5249,2024 Term 3,Undergraduate,3584,Commerce / Information Systems,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,COMM3030,3030,WILC,9817106
Local,2024,5243,2024 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,ENGG4999,4999,WILC,9822798
Local,2024,5246,2024 Term 2,Undergraduate,3871,Exercise Physiology,60843,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum B,HESC4622,4622,WILC,9800506
Local,2024,5243,2024 Term 1,Undergraduate,3871,Exercise Physiology,60608,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum A,HESC4611,4611,WILC,9800506
Local,2024,5249,2024 Term 3,Undergraduate,4063,Fine Arts/Education (Sec),65316,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Prof Exp 2/Internship,EDST6765,6765,WILC,9818554
Local,2024,5246,2024 Term 2,Undergraduate,3155,Actuarial Studies / Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,COMM3030,3030,WILC,9821725
Local,2024,5246,2024 Term 2,Undergraduate,4076,Science/Education (Secondary),59591,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,EDST6760,6760,WILC,9804051
Local,2024,5246,2024 Term 2,Undergraduate,3558,Commerce (International),66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,COMM2244,2244,WILC,9798481
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,62771,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Clinical Transition,MFAC2507,2507,WILC,9821467
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,62771,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Clinical Transition,MFAC2507,2507,WILC,9853116
Local,2024,5246,2024 Term 2,Undergraduate,3502,Commerce,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,COMM2233,2233,WILC,9860003
Local,2024,5242,2024 Summer Term,Undergraduate,3256,Interior Architecture (Hons),66279,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Street Life Studies,BEIL6011,6011,WILC,9853260
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,65718,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 1,MFAC2514,2514,WILC,9846350
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,65717,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 3,MFAC2516,2516,WILC,9846350
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,65716,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 2,MFAC2515,2515,WILC,9846350
Local,2024,5243,2024 Term 1,Research,1487,Vision Science,66057,1,ADMIN,Division of Registrar and Deputy Principal,ADMIN,Division of Registrar and Deputy Principal,HDR Internship,REGZ9901,9901,WILC,9845464
Local,2024,5242,2024 Summer Term,Research,1487,Vision Science,66057,1,ADMIN,Division of Registrar and Deputy Principal,ADMIN,Division of Registrar and Deputy Principal,HDR Internship,REGZ9901,9901,WILC,9845464
Local,2024,5246,2024 Term 2,Research,1487,Vision Science,66057,1,ADMIN,Division of Registrar and Deputy Principal,ADMIN,Division of Registrar and Deputy Principal,HDR Internship,REGZ9901,9901,WILC,9845464
International,2024,5246,2024 Term 2,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,COMM3030,3030,WILC,9871947
International,2024,5246,2024 Term 2,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,COMM3030,3030,WILC,9893295
Local,2024,5243,2024 Term 1,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,COMM3030,3030,WILC,9894749
International,2024,5246,2024 Term 2,Undergraduate,4053,Arts / Education (Secondary),59591,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,EDST6760,6760,WILC,9921393
International,2024,5242,2024 Summer Term,Undergraduate,4053,Arts / Education (Secondary),62698,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Engagement,EDST2002,2002,WILC,9921393
International,2024,5246,2024 Term 2,Undergraduate,3502,Commerce,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,COMM2233,2233,WILC,9956903
International,2024,5246,2024 Term 2,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,COMM2244,2244,WILC,9981544
International,2024,5246,2024 Term 2,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,COMM3030,3030,WILC,9986609
Local,2024,5246,2024 Term 2,Postgraduate,8356,Business Administration (Exec),65884,1,COMM,UNSW Business School,AGSM,AGSM MBA Programs,Strategic Consulting Project,AGSM9155,9155,WILC,9992161
Local,2024,5249,2024 Term 3,Postgraduate,8143,Architecture,66712,2,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,ADA Professional Placement,FADA6700,6700,WILC,10482639
International,2024,5243,2024 Term 1,Postgraduate,8359,MBA (Extension),66757,1,COMM,UNSW Business School,AGSM,AGSM MBA Programs,Work Integrated Learning,MNGT5595,5595,WILC,10554767
Local,2024,5249,2024 Term 3,Undergraduate,3596,Commerce / Media (PR & A),66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,COMM2244,2244,WILC,10634627
International,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,65716,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 2,MFAC2515,2515,WILC,10635947
International,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,65718,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 1,MFAC2514,2514,WILC,10635947
International,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,65717,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 3,MFAC2516,2516,WILC,10635947
International,2024,5246,2024 Term 2,Undergraduate,3325,Social Sciences,64326,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Soc Sci in the Workplace,SOSS3006,3006,WILC,10658097
Local,2024,5246,2024 Term 2,Undergraduate,4033,Social Work (Honours),65524,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Placement  Lvl 4 A,SOCW4017,4017,WILC,10721501
Local,2024,5249,2024 Term 3,Undergraduate,4033,Social Work (Honours),65522,1,ADA,"Faculty of Arts, Design and Architecture",POLS,School of Social Sciences,Social Work Placement Lvl 4 B,SOCW4018,4018,WILC,10721501
Local,2024,5243,2024 Term 1,Postgraduate,8351,Business Administration,60176,1,COMM,UNSW Business School,AGSM,AGSM MBA Programs,Strategic Consulting Projects,MNGT5589,5589,WILC,10773346
Local,2024,5249,2024 Term 3,Postgraduate,8926,Teaching (Secondary),65316,2,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Prof Exp 2/Internship,EDST6765,6765,WILC,10787624
Local,2024,5246,2024 Term 2,Postgraduate,8926,Teaching (Secondary),59591,2,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,EDST6760,6760,WILC,10787624
Local,2024,5246,2024 Term 2,Undergraduate,4063,Fine Arts/Education (Sec),59591,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,EDST6760,6760,WILC,10797100
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,65716,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 2,MFAC2515,2515,WILC,10831838
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,65718,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 1,MFAC2514,2514,WILC,10831838
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,65717,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 3,MFAC2516,2516,WILC,10831838
Local,2024,5246,2024 Term 2,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,COMM2244,2244,WILC,10828539
Local,2024,5246,2024 Term 2,Undergraduate,4053,Arts / Education (Secondary),59591,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,EDST6760,6760,WILC,10833166
Local,2024,5243,2024 Term 1,Undergraduate,3805,Medicine,65718,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 1,MFAC2514,2514,WILC,10840235
Local,2024,5249,2024 Term 3,Undergraduate,3805,Medicine,65717,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 3,MFAC2516,2516,WILC,10840235
Local,2024,5246,2024 Term 2,Undergraduate,3805,Medicine,65716,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 2,MFAC2515,2515,WILC,10840235
Local,2024,5249,2024 Term 3,Undergraduate,3181,Vision Science,67363,1,BOS,DVC (A) Board of Studies,BOS,DVC (A) Board of Studies,WIL Placement,CDEV3400,3400,WILC,10829382
Local,2024,5243,2024 Term 1,Undergraduate,3584,Commerce / Information Systems,65713,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Exp.Placement 1,COMM3101,3101,WILC,10838047
Local,2024,5246,2024 Term 2,Undergraduate,3584,Commerce / Information Systems,65713,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Exp.Placement 1,COMM3101,3101,WILC,10838047
Local,2024,5243,2024 Term 1,Undergraduate,3707,Engineering (Honours),66762,1,ENG,Faculty of Engineering,COMPSC,School of Computer Science and Engineering,Software Work Practice 2,SENG3993,3993,WILC,10833161
Local,2024,5246,2024 Term 2,Undergraduate,3707,Engineering (Honours),66762,1,ENG,Faculty of Engineering,COMPSC,School of Computer Science and Engineering,Software Work Practice 2,SENG3993,3993,WILC,10833161
Local,2024,5246,2024 Term 2,Undergraduate,3707,Engineering (Honours),66763,1,ENG,Faculty of Engineering,COMPSC,School of Computer Science and Engineering,Software Work Practice 3,SENG3994,3994,WILC,10833161
Local,2024,5249,2024 Term 3,Undergraduate,3707,Engineering (Honours),66763,1,ENG,Faculty of Engineering,COMPSC,School of Computer Science and Engineering,Software Work Practice 3,SENG3994,3994,WILC,10833161
Local,2024,5246,2024 Term 2,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,COMM2244,2244,WILC,10845507
Local,2024,5246,2024 Term 2,Undergraduate,4783,Arts and Business / Law,66909,1,BOS,DVC (A) Board of Studies,BOS,DVC (A) Board of Studies,Global Practice of Work,CDEV3300,3300,WILC,10840856
International,2024,5243,2024 Term 1,Undergraduate,3502,Commerce,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,COMM2233,2233,WILC,10862671
Local,2024,5243,2024 Term 1,Undergraduate,3435,Psychological Science,66725,1,SCI,Faculty of Science,PSYC,School of Psychology,Psychology Work Placement 1,PSYC3199,3199,WILC,10876055
